title,link,date,content_snippet,text_combined,clean_text,tokens
Qatar Airways Rute Bali-Doha Batal Terbang Malam Ini Imbas Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624205015-92-1243463/qatar-airways-rute-bali-doha-batal-terbang-malam-ini-imbas-iran-israel,2025-06-24,"Qatar Airways membatalkan penerbangan internasional rute Denpasar-Doha yang direncanakan terbang malam ini (24/6) pukul 19.20 WITA dari Bandara Internasional I Gusti Ngurah Rai, Bali.","Qatar Airways Rute Bali-Doha Batal Terbang Malam Ini Imbas Iran-Israel Qatar Airways membatalkan penerbangan internasional rute Denpasar-Doha yang direncanakan terbang malam ini (24/6) pukul 19.20 WITA dari Bandara Internasional I Gusti Ngurah Rai, Bali.",qatar airways rute balidoha batal terbang malam imbas iranisrael qatar airways batal terbang internasional rute denpasardoha rencana terbang malam pukul wita bandara internasional i gusti ngurah rai bal,"['qatar', 'airways', 'rute', 'balidoha', 'batal', 'terbang', 'malam', 'imbas', 'iranisrael', 'qatar', 'airways', 'batal', 'terbang', 'internasional', 'rute', 'denpasardoha', 'rencana', 'terbang', 'malam', 'pukul', 'wita', 'bandara', 'internasional', 'i', 'gusti', 'ngurah', 'rai', 'bal']"
"Alfamart di IIHF 2025, Dukung Visi Halal Global dari BPJPH",https://www.cnnindonesia.com/ekonomi/20250624203141-625-1243460/alfamart-di-iihf-2025-dukung-visi-halal-global-dari-bpjph,2025-06-24,Alfamart memastikan dukungan terhadap ekosistem halal di dalam negeri dengan berpartisipasi pada ajang Indonesia International Halal Festival (IIHF) 2025 yang diadakan di Jakarta International Convention Center (JICC).,"Alfamart di IIHF 2025, Dukung Visi Halal Global dari BPJPH Alfamart memastikan dukungan terhadap ekosistem halal di dalam negeri dengan berpartisipasi pada ajang Indonesia International Halal Festival (IIHF) 2025 yang diadakan di Jakarta International Convention Center (JICC).",alfamart iihf dukung visi halal global bpjph alfamart pasti dukung ekosistem halal dalam negeri partisipasi ajang indonesia international halal festival iihf ada jakarta international convention center jicc,"['alfamart', 'iihf', 'dukung', 'visi', 'halal', 'global', 'bpjph', 'alfamart', 'pasti', 'dukung', 'ekosistem', 'halal', 'dalam', 'negeri', 'partisipasi', 'ajang', 'indonesia', 'international', 'halal', 'festival', 'iihf', 'ada', 'jakarta', 'international', 'convention', 'center', 'jicc']"
Bahlil Akui Cuan Hilirisasi Baru Dinikmati Investor - Pemerintah Pusat,https://www.cnnindonesia.com/ekonomi/20250624145616-85-1243307/bahlil-akui-cuan-hilirisasi-baru-dinikmati-investor-pemerintah-pusat,2025-06-24,Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengakui manfaat ekonomi hilirisasi industri di Indonesia baru bisa dinikmati oleh investor dan pemerintah pusat.,Bahlil Akui Cuan Hilirisasi Baru Dinikmati Investor - Pemerintah Pusat Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengakui manfaat ekonomi hilirisasi industri di Indonesia baru bisa dinikmati oleh investor dan pemerintah pusat.,bahlil aku cuan hilir baru nikmat investor perintah pusat menteri energi sumber daya mineral esdm bahlil lahadalia aku manfaat ekonomi hilir industri indonesia baru nikmat investor perintah pusat,"['bahlil', 'aku', 'cuan', 'hilir', 'baru', 'nikmat', 'investor', 'perintah', 'pusat', 'menteri', 'energi', 'sumber', 'daya', 'mineral', 'esdm', 'bahlil', 'lahadalia', 'aku', 'manfaat', 'ekonomi', 'hilir', 'industri', 'indonesia', 'baru', 'nikmat', 'investor', 'perintah', 'pusat']"
Rosan Klaim Perang Iran Vs Israel Belum Berdampak ke Investasi RI,https://www.cnnindonesia.com/ekonomi/20250624161318-92-1243352/rosan-klaim-perang-iran-vs-israel-belum-berdampak-ke-investasi-ri,2025-06-24,Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Rosan Roeslani mengklaim perang Iran vs Israel yang saat ini memanas belum memberikan dampak langsung terhadap investasi asing di Indonesia.,Rosan Klaim Perang Iran Vs Israel Belum Berdampak ke Investasi RI Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Rosan Roeslani mengklaim perang Iran vs Israel yang saat ini memanas belum memberikan dampak langsung terhadap investasi asing di Indonesia.,ros klaim perang iran vs israel dampak investasi ri menteri investasi hilirisasikepala badan koordinasi tanam modal bkpm ros roeslani klaim perang iran vs israel saat panas beri dampak langsung investasi asing indonesia,"['ros', 'klaim', 'perang', 'iran', 'vs', 'israel', 'dampak', 'investasi', 'ri', 'menteri', 'investasi', 'hilirisasikepala', 'badan', 'koordinasi', 'tanam', 'modal', 'bkpm', 'ros', 'roeslani', 'klaim', 'perang', 'iran', 'vs', 'israel', 'saat', 'panas', 'beri', 'dampak', 'langsung', 'investasi', 'asing', 'indonesia']"
KKP: Pulau Kecil Tak Boleh Ditambang!,https://www.cnnindonesia.com/ekonomi/20250624142555-85-1243284/kkp-pulau-kecil-tak-boleh-ditambang,2025-06-24,Kementerian Kelautan dan Perikanan (KKP) tidak akan membuka ruang bagi aktivitas penambangan di pulau-pulau kecil Indonesia.,KKP: Pulau Kecil Tak Boleh Ditambang! Kementerian Kelautan dan Perikanan (KKP) tidak akan membuka ruang bagi aktivitas penambangan di pulau-pulau kecil Indonesia.,kkp pulau kecil tak tambang menteri laut ikan kkp akan buka ruang aktivitas tambang pulaupulau kecil indonesia,"['kkp', 'pulau', 'kecil', 'tak', 'tambang', 'menteri', 'laut', 'ikan', 'kkp', 'akan', 'buka', 'ruang', 'aktivitas', 'tambang', 'pulaupulau', 'kecil', 'indonesia']"
Garuda Batalkan Penerbangan Doha-Jakarta Imbas Perang Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624194111-92-1243441/garuda-batalkan-penerbangan-doha-jakarta-imbas-perang-iran-israel,2025-06-24,"Kementerian Perhubungan (Kemenhub) menyebut sejumlah penerbangan Indonesia ke Timur Tengah dibatalkan karena perang Iran vs Israel, termasuk penerbangan Garuda Indonesia.","Garuda Batalkan Penerbangan Doha-Jakarta Imbas Perang Iran-Israel Kementerian Perhubungan (Kemenhub) menyebut sejumlah penerbangan Indonesia ke Timur Tengah dibatalkan karena perang Iran vs Israel, termasuk penerbangan Garuda Indonesia.",garuda batal terbang dohajakarta imbas perang iranisrael menteri hubung kemenhub sebut jumlah terbang indonesia timur tengah batal perang iran vs israel masuk terbang garuda indonesia,"['garuda', 'batal', 'terbang', 'dohajakarta', 'imbas', 'perang', 'iranisrael', 'menteri', 'hubung', 'kemenhub', 'sebut', 'jumlah', 'terbang', 'indonesia', 'timur', 'tengah', 'batal', 'perang', 'iran', 'vs', 'israel', 'masuk', 'terbang', 'garuda', 'indonesia']"
"Minim Lapangan Kerja, Konsumsi Kelas Menengah RI Turun",https://www.cnnindonesia.com/ekonomi/20250624110741-532-1243154/minim-lapangan-kerja-konsumsi-kelas-menengah-ri-turun,2025-06-24,Bank Dunia mengungkapkan nasib kelas menegah Indonesia (RI) di tengah himpitan ketidakpastian ekonomi.,"Minim Lapangan Kerja, Konsumsi Kelas Menengah RI Turun Bank Dunia mengungkapkan nasib kelas menegah Indonesia (RI) di tengah himpitan ketidakpastian ekonomi.",minim lapang kerja konsumsi kelas tengah ri turun bank dunia ungkap nasib kelas tegah indonesia ri tengah himpitan ketidakpastian ekonomi,"['minim', 'lapang', 'kerja', 'konsumsi', 'kelas', 'tengah', 'ri', 'turun', 'bank', 'dunia', 'ungkap', 'nasib', 'kelas', 'tegah', 'indonesia', 'ri', 'tengah', 'himpitan', 'ketidakpastian', 'ekonomi']"
Seberapa Banyak Impor Minyak RI yang Dikirim Lewat Selat Hormuz?,https://www.cnnindonesia.com/ekonomi/20250624185759-85-1243429/seberapa-banyak-impor-minyak-ri-yang-dikirim-lewat-selat-hormuz,2025-06-24,PT Pertamina (Persero) mengungkap jumlah impor minyak mentah (crude) pesanan Indonesia yang dikirim melalui Selat Hormuz.,Seberapa Banyak Impor Minyak RI yang Dikirim Lewat Selat Hormuz? PT Pertamina (Persero) mengungkap jumlah impor minyak mentah (crude) pesanan Indonesia yang dikirim melalui Selat Hormuz.,berapa banyak impor minyak ri kirim lewat selat hormuz pt pertamina persero ungkap jumlah impor minyak mentah crude pesan indonesia kirim lalu selat hormuz,"['berapa', 'banyak', 'impor', 'minyak', 'ri', 'kirim', 'lewat', 'selat', 'hormuz', 'pt', 'pertamina', 'persero', 'ungkap', 'jumlah', 'impor', 'minyak', 'mentah', 'crude', 'pesan', 'indonesia', 'kirim', 'lalu', 'selat', 'hormuz']"
Bahlil Minta Rakyat Doa Agar BBM Tak Naik Imbas Perang Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624140348-85-1243255/bahlil-minta-rakyat-doa-agar-bbm-tak-naik-imbas-perang-iran-israel,2025-06-24,Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia meminta masyarakat berdoa agar harga BBM tak melonjak karena perang Iran melawan Israel.,Bahlil Minta Rakyat Doa Agar BBM Tak Naik Imbas Perang Iran-Israel Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia meminta masyarakat berdoa agar harga BBM tak melonjak karena perang Iran melawan Israel.,bahlil minta rakyat doa bbm tak naik imbas perang iranisrael menteri energi sumber daya mineral esdm bahlil lahadalia minta masyarakat doa harga bbm tak lonjak perang iran lawan israel,"['bahlil', 'minta', 'rakyat', 'doa', 'bbm', 'tak', 'naik', 'imbas', 'perang', 'iranisrael', 'menteri', 'energi', 'sumber', 'daya', 'mineral', 'esdm', 'bahlil', 'lahadalia', 'minta', 'masyarakat', 'doa', 'harga', 'bbm', 'tak', 'lonjak', 'perang', 'iran', 'lawan', 'israel']"
Sinergi Pemerintah & Swasta Dorong Kualitas SDM Lewat Ketahanan Pangan,https://www.cnnindonesia.com/ekonomi/20250624171732-537-1243398/sinergi-pemerintah-swasta-dorong-kualitas-sdm-lewat-ketahanan-pangan,2025-06-24,"Dalam upaya mengakselerasi program prioritas seperti pemerataan akses pangan dan peningkatan gizi guna menjawab tantangan ketahanan pangan nasional serta mendorong peningkatan kualitas sumber daya manusia (SDM), pemerintah ditegaskan perlu berkolaborasi lintas sektor.","Sinergi Pemerintah & Swasta Dorong Kualitas SDM Lewat Ketahanan Pangan Dalam upaya mengakselerasi program prioritas seperti pemerataan akses pangan dan peningkatan gizi guna menjawab tantangan ketahanan pangan nasional serta mendorong peningkatan kualitas sumber daya manusia (SDM), pemerintah ditegaskan perlu berkolaborasi lintas sektor.",sinergi perintah swasta dorong kualitas sdm lewat tahan pangan upaya akselerasi program prioritas perata akses pangan tingkat gizi jawab tantang tahan pangan nasional dorong tingkat kualitas sumber daya manusia sdm perintah tegas perlu kolaborasi lintas sektor,"['sinergi', 'perintah', 'swasta', 'dorong', 'kualitas', 'sdm', 'lewat', 'tahan', 'pangan', 'upaya', 'akselerasi', 'program', 'prioritas', 'perata', 'akses', 'pangan', 'tingkat', 'gizi', 'jawab', 'tantang', 'tahan', 'pangan', 'nasional', 'dorong', 'tingkat', 'kualitas', 'sumber', 'daya', 'manusia', 'sdm', 'perintah', 'tegas', 'perlu', 'kolaborasi', 'lintas', 'sektor']"
"ESDM: Lewat Pabrik Baterai EV, RI Bisa Turunkan Impor BBM 300 Ribu KL",https://www.cnnindonesia.com/ekonomi/20250629214037-92-1244957/esdm-lewat-pabrik-baterai-ev-ri-bisa-turunkan-impor-bbm-300-ribu-kl,2025-06-29,"Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menyampaikan, Indonesia bisa menurunkan impor bahan bakar minyak (BBM) hingga 300 ribu kiloliter (KL) lewat pabrik baterai kendaraan listrik (electric vehicle/EV) di Karawang, Jawa Barat.","ESDM: Lewat Pabrik Baterai EV, RI Bisa Turunkan Impor BBM 300 Ribu KL Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia menyampaikan, Indonesia bisa menurunkan impor bahan bakar minyak (BBM) hingga 300 ribu kiloliter (KL) lewat pabrik baterai kendaraan listrik (electric vehicle/EV) di Karawang, Jawa Barat.",esdm lewat pabrik baterai ev ri turun impor bbm ribu kl menteri energi sumber daya mineral esdm bahlil lahadalia sampai indonesia turun impor bahan bakar minyak bbm hingga ribu kiloliter kl lewat pabrik baterai kendara listrik electric vehicleev karawang jawa barat,"['esdm', 'lewat', 'pabrik', 'baterai', 'ev', 'ri', 'turun', 'impor', 'bbm', 'ribu', 'kl', 'menteri', 'energi', 'sumber', 'daya', 'mineral', 'esdm', 'bahlil', 'lahadalia', 'sampai', 'indonesia', 'turun', 'impor', 'bahan', 'bakar', 'minyak', 'bbm', 'hingga', 'ribu', 'kiloliter', 'kl', 'lewat', 'pabrik', 'baterai', 'kendara', 'listrik', 'electric', 'vehicleev', 'karawang', 'jawa', 'barat']"
"Swasembada Energi Bisa Hemat hingga Rp939,6 T per Tahun",https://www.cnnindonesia.com/ekonomi/20250629174504-532-1244934/swasembada-energi-bisa-hemat-hingga-rp9396-t-per-tahun,2025-06-29,"Presiden Prabowo Subianto menyebut Indonesia dapat menghemat hingga US$58 miliar atau setara Rp939,6 triliun per tahun (asumsi kurs Rp16.200 per dolar AS) jika sudah mencapai swasembada energi.","Swasembada Energi Bisa Hemat hingga Rp939,6 T per Tahun Presiden Prabowo Subianto menyebut Indonesia dapat menghemat hingga US$58 miliar atau setara Rp939,6 triliun per tahun (asumsi kurs Rp16.200 per dolar AS) jika sudah mencapai swasembada energi.",swasembada energi hemat hingga rp t per tahun presiden prabowo subianto sebut indonesia hemat hingga us miliar tara rp triliun per tahun asumsi kurs rp per dolar as sudah capai swasembada energi,"['swasembada', 'energi', 'hemat', 'hingga', 'rp', 't', 'per', 'tahun', 'presiden', 'prabowo', 'subianto', 'sebut', 'indonesia', 'hemat', 'hingga', 'us', 'miliar', 'tara', 'rp', 'triliun', 'per', 'tahun', 'asumsi', 'kurs', 'rp', 'per', 'dolar', 'as', 'sudah', 'capai', 'swasembada', 'energi']"
Prabowo Beber Industri Baterai EV Malut-Karawang Bisa Hasilkan Rp777 T,https://www.cnnindonesia.com/ekonomi/20250629171605-85-1244931/prabowo-beber-industri-baterai-ev-malut-karawang-bisa-hasilkan-rp777-t,2025-06-29,Presiden RI Prabowo Subianto mengatakan proyek baterai kendaraan listrik (EV) Ekosistem Industri Baterai Kendaraan Listrik Terintegrasi Konsorsium ANTAM-IBC-CBL dapat menghasilkan nilai tambah sebesar 8 kali dari total investasi.,Prabowo Beber Industri Baterai EV Malut-Karawang Bisa Hasilkan Rp777 T Presiden RI Prabowo Subianto mengatakan proyek baterai kendaraan listrik (EV) Ekosistem Industri Baterai Kendaraan Listrik Terintegrasi Konsorsium ANTAM-IBC-CBL dapat menghasilkan nilai tambah sebesar 8 kali dari total investasi.,prabowo beber industri baterai ev malutkarawang hasil rp t presiden ri prabowo subianto kata proyek baterai kendara listrik ev ekosistem industri baterai kendara listrik integrasi konsorsium antamibccbl hasil nilai tambah besar kali total investasi,"['prabowo', 'beber', 'industri', 'baterai', 'ev', 'malutkarawang', 'hasil', 'rp', 't', 'presiden', 'ri', 'prabowo', 'subianto', 'kata', 'proyek', 'baterai', 'kendara', 'listrik', 'ev', 'ekosistem', 'industri', 'baterai', 'kendara', 'listrik', 'integrasi', 'konsorsium', 'antamibccbl', 'hasil', 'nilai', 'tambah', 'besar', 'kali', 'total', 'investasi']"
Kulkas SBS Diskon Jutaan Rupiah di Transmart Full Day Sale Hari Ini,https://www.cnnindonesia.com/ekonomi/20250626150708-97-1244169/kulkas-sbs-diskon-jutaan-rupiah-di-transmart-full-day-sale-hari-ini,2025-06-29,"Transmart Full Day Sale datang lagi hari ini, Minggu (29/6), kulkas side by side (SBS) banting harga jutaan rupiah, dari harga normal Rp9 juta jadi Rp6 jutaan.","Kulkas SBS Diskon Jutaan Rupiah di Transmart Full Day Sale Hari Ini Transmart Full Day Sale datang lagi hari ini, Minggu (29/6), kulkas side by side (SBS) banting harga jutaan rupiah, dari harga normal Rp9 juta jadi Rp6 jutaan.",kulkas sbs diskon juta rupiah transmart full day sale hari transmart full day sale datang hari minggu kulkas side by side sbs banting harga juta rupiah harga normal rp juta jadi rp juta,"['kulkas', 'sbs', 'diskon', 'juta', 'rupiah', 'transmart', 'full', 'day', 'sale', 'hari', 'transmart', 'full', 'day', 'sale', 'datang', 'hari', 'minggu', 'kulkas', 'side', 'by', 'side', 'sbs', 'banting', 'harga', 'juta', 'rupiah', 'harga', 'normal', 'rp', 'juta', 'jadi', 'rp', 'juta']"
Prabowo: Cita-Cita Hilirisasi Sudah Dimulai Sejak Bung Karno,https://www.cnnindonesia.com/ekonomi/20250629162838-532-1244926/prabowo-cita-cita-hilirisasi-sudah-dimulai-sejak-bung-karno,2025-06-29,Presiden RI Prabowo Subianto menyebut cita-cita hilirisasi sudah dimulai sejak Presiden ke-1 RI Ir Sukarno.,Prabowo: Cita-Cita Hilirisasi Sudah Dimulai Sejak Bung Karno Presiden RI Prabowo Subianto menyebut cita-cita hilirisasi sudah dimulai sejak Presiden ke-1 RI Ir Sukarno.,prabowo citacita hilir mulai sejak bung karno presiden ri prabowo subianto sebut citacita hilir mulai sejak presiden ri ir sukarno,"['prabowo', 'citacita', 'hilir', 'mulai', 'sejak', 'bung', 'karno', 'presiden', 'ri', 'prabowo', 'subianto', 'sebut', 'citacita', 'hilir', 'mulai', 'sejak', 'presiden', 'ri', 'ir', 'sukarno']"
"Wamen BUMN Kunjungi Nasabah PNM Mekaar di Desa Ulian, Kintamani",https://www.cnnindonesia.com/ekonomi/20250629155700-625-1244923/wamen-bumn-kunjungi-nasabah-pnm-mekaar-di-desa-ulian-kintamani,2025-06-29,"Direktur Utama PT Permodalan Nasional Madani (PNM) Arief Mulyadi beserta jajaran Direksi BRI dan BNI menerima kunjungan Wakil Menteri (Wamen) BUMN Kartika Wirjoatmodjo di Desa Ulian, Kintamani, Bali dalam rangka Peninjauan Pertemuan Kelompok Mingguan (PKM) PNM Mekaar di Cabang Denpasar.","Wamen BUMN Kunjungi Nasabah PNM Mekaar di Desa Ulian, Kintamani Direktur Utama PT Permodalan Nasional Madani (PNM) Arief Mulyadi beserta jajaran Direksi BRI dan BNI menerima kunjungan Wakil Menteri (Wamen) BUMN Kartika Wirjoatmodjo di Desa Ulian, Kintamani, Bali dalam rangka Peninjauan Pertemuan Kelompok Mingguan (PKM) PNM Mekaar di Cabang Denpasar.",wamen bumn kunjung nasabah pnm mekaar desa uli kintamani direktur utama pt modal nasional madani pnm arief mulyadi serta jajar direksi bri bni terima kunjung wakil menteri wamen bumn kartika wirjoatmodjo desa uli kintamani bal rangka tinjau temu kelompok minggu pkm pnm mekaar cabang denpasar,"['wamen', 'bumn', 'kunjung', 'nasabah', 'pnm', 'mekaar', 'desa', 'uli', 'kintamani', 'direktur', 'utama', 'pt', 'modal', 'nasional', 'madani', 'pnm', 'arief', 'mulyadi', 'serta', 'jajar', 'direksi', 'bri', 'bni', 'terima', 'kunjung', 'wakil', 'menteri', 'wamen', 'bumn', 'kartika', 'wirjoatmodjo', 'desa', 'uli', 'kintamani', 'bal', 'rangka', 'tinjau', 'temu', 'kelompok', 'minggu', 'pkm', 'pnm', 'mekaar', 'cabang', 'denpasar']"
Prabowo Sebut RI Harus Hasilkan 100 GWh Demi Capai Swasembada Energi,https://www.cnnindonesia.com/ekonomi/20250629154507-532-1244910/prabowo-sebut-ri-harus-hasilkan-100-gwh-demi-capai-swasembada-energi,2025-06-29,Presiden RI Prabowo Subianto mengatakan Indonesia harus mampu memproduksi listrik 100 gigawatt (GWh) untuk mencapai swasembada energi.,Prabowo Sebut RI Harus Hasilkan 100 GWh Demi Capai Swasembada Energi Presiden RI Prabowo Subianto mengatakan Indonesia harus mampu memproduksi listrik 100 gigawatt (GWh) untuk mencapai swasembada energi.,prabowo sebut ri hasil gwh capai swasembada energi presiden ri prabowo subianto kata indonesia mampu produksi listrik gigawatt gwh capai swasembada energi,"['prabowo', 'sebut', 'ri', 'hasil', 'gwh', 'capai', 'swasembada', 'energi', 'presiden', 'ri', 'prabowo', 'subianto', 'kata', 'indonesia', 'mampu', 'produksi', 'listrik', 'gigawatt', 'gwh', 'capai', 'swasembada', 'energi']"
"Smart TV 50 Inch Banting Harga di Transmart Jadi Rp3,9 Jutaan Aja",https://www.cnnindonesia.com/ekonomi/20250626152828-97-1244183/smart-tv-50-inch-banting-harga-di-transmart-jadi-rp39-jutaan-aja,2025-06-29,"Transmart Full Day Sale kembali lagi hari ini, Minggu (29/6). Aneka barang elektronik banting harga, misalnya beli Smart TV 50 inch di Transmart harganya cuma Rp3,9 jutaan.","Smart TV 50 Inch Banting Harga di Transmart Jadi Rp3,9 Jutaan Aja Transmart Full Day Sale kembali lagi hari ini, Minggu (29/6). Aneka barang elektronik banting harga, misalnya beli Smart TV 50 inch di Transmart harganya cuma Rp3,9 jutaan.",smart tv inch banting harga transmart jadi rp juta aja transmart full day sale lagi hari minggu aneka barang elektronik banting harga misal beli smart tv inch transmart harga cuma rp juta,"['smart', 'tv', 'inch', 'banting', 'harga', 'transmart', 'jadi', 'rp', 'juta', 'aja', 'transmart', 'full', 'day', 'sale', 'lagi', 'hari', 'minggu', 'aneka', 'barang', 'elektronik', 'banting', 'harga', 'misal', 'beli', 'smart', 'tv', 'inch', 'transmart', 'harga', 'cuma', 'rp', 'juta']"
"Tarif MRT, LRT, dan Transjakarta Cuma Rp1 pada Selasa 1 Juli",https://www.cnnindonesia.com/ekonomi/20250629112830-92-1244833/tarif-mrt-lrt-dan-transjakarta-cuma-rp1-pada-selasa-1-juli,2025-06-29,"Dinas Perhubungan (Dishub) DKI Jakarta menerapkan tarif khusus untuk LRT, MRT, dan Transjakarta pada Selasa (1/7).","Tarif MRT, LRT, dan Transjakarta Cuma Rp1 pada Selasa 1 Juli Dinas Perhubungan (Dishub) DKI Jakarta menerapkan tarif khusus untuk LRT, MRT, dan Transjakarta pada Selasa (1/7).",tarif mrt lrt transjakarta cuma rp selasa juli dinas hubung dishub dki jakarta terap tarif khusus lrt mrt transjakarta selasa,"['tarif', 'mrt', 'lrt', 'transjakarta', 'cuma', 'rp', 'selasa', 'juli', 'dinas', 'hubung', 'dishub', 'dki', 'jakarta', 'terap', 'tarif', 'khusus', 'lrt', 'mrt', 'transjakarta', 'selasa']"
