title,link,date,content_snippet
Qatar Airways Rute Bali-Doha Batal Terbang Malam Ini Imbas Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624205015-92-1243463/qatar-airways-rute-bali-doha-batal-terbang-malam-ini-imbas-iran-israel,2025-06-24,"Qatar Airways membatalkan penerbangan internasional rute Denpasar-Doha yang direncanakan terbang malam ini (24/6) pukul 19.20 WITA dari Bandara Internasional I Gusti Ngurah Rai, Bali."
"Alfamart di IIHF 2025, Dukung Visi Halal Global dari BPJPH",https://www.cnnindonesia.com/ekonomi/20250624203141-625-1243460/alfamart-di-iihf-2025-dukung-visi-halal-global-dari-bpjph,2025-06-24,Alfamart memastikan dukungan terhadap ekosistem halal di dalam negeri dengan berpartisipasi pada ajang Indonesia International Halal Festival (IIHF) 2025 yang diadakan di Jakarta International Convention Center (JICC).
Bahlil Akui Cuan Hilirisasi Baru Dinikmati Investor - Pemerintah Pusat,https://www.cnnindonesia.com/ekonomi/20250624145616-85-1243307/bahlil-akui-cuan-hilirisasi-baru-dinikmati-investor-pemerintah-pusat,2025-06-24,Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengakui manfaat ekonomi hilirisasi industri di Indonesia baru bisa dinikmati oleh investor dan pemerintah pusat.
Rosan Klaim Perang Iran Vs Israel Belum Berdampak ke Investasi RI,https://www.cnnindonesia.com/ekonomi/20250624161318-92-1243352/rosan-klaim-perang-iran-vs-israel-belum-berdampak-ke-investasi-ri,2025-06-24,Menteri Investasi dan Hilirisasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Rosan Roeslani mengklaim perang Iran vs Israel yang saat ini memanas belum memberikan dampak langsung terhadap investasi asing di Indonesia.
KKP: Pulau Kecil Tak Boleh Ditambang!,https://www.cnnindonesia.com/ekonomi/20250624142555-85-1243284/kkp-pulau-kecil-tak-boleh-ditambang,2025-06-24,Kementerian Kelautan dan Perikanan (KKP) tidak akan membuka ruang bagi aktivitas penambangan di pulau-pulau kecil Indonesia.
Garuda Batalkan Penerbangan Doha-Jakarta Imbas Perang Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624194111-92-1243441/garuda-batalkan-penerbangan-doha-jakarta-imbas-perang-iran-israel,2025-06-24,"Kementerian Perhubungan (Kemenhub) menyebut sejumlah penerbangan Indonesia ke Timur Tengah dibatalkan karena perang Iran vs Israel, termasuk penerbangan Garuda Indonesia."
"Minim Lapangan Kerja, Konsumsi Kelas Menengah RI Turun",https://www.cnnindonesia.com/ekonomi/20250624110741-532-1243154/minim-lapangan-kerja-konsumsi-kelas-menengah-ri-turun,2025-06-24,Bank Dunia mengungkapkan nasib kelas menegah Indonesia (RI) di tengah himpitan ketidakpastian ekonomi.
Seberapa Banyak Impor Minyak RI yang Dikirim Lewat Selat Hormuz?,https://www.cnnindonesia.com/ekonomi/20250624185759-85-1243429/seberapa-banyak-impor-minyak-ri-yang-dikirim-lewat-selat-hormuz,2025-06-24,PT Pertamina (Persero) mengungkap jumlah impor minyak mentah (crude) pesanan Indonesia yang dikirim melalui Selat Hormuz.
Bahlil Minta Rakyat Doa Agar BBM Tak Naik Imbas Perang Iran-Israel,https://www.cnnindonesia.com/ekonomi/20250624140348-85-1243255/bahlil-minta-rakyat-doa-agar-bbm-tak-naik-imbas-perang-iran-israel,2025-06-24,Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia meminta masyarakat berdoa agar harga BBM tak melonjak karena perang Iran melawan Israel.
Sinergi Pemerintah & Swasta Dorong Kualitas SDM Lewat Ketahanan Pangan,https://www.cnnindonesia.com/ekonomi/20250624171732-537-1243398/sinergi-pemerintah-swasta-dorong-kualitas-sdm-lewat-ketahanan-pangan,2025-06-24,"Dalam upaya mengakselerasi program prioritas seperti pemerataan akses pangan dan peningkatan gizi guna menjawab tantangan ketahanan pangan nasional serta mendorong peningkatan kualitas sumber daya manusia (SDM), pemerintah ditegaskan perlu berkolaborasi lintas sektor."
